,artist_name,spotify_name,spotify_id,spotify_popularity,spotify_followers,spotify_listeners
/artists/10123435-sideline-ch,Sideline ,Sideline,3A5JW6yJ1Qh1pwGcTIlImf,26.0,2150.0,14100.0
/artists/8187718-sidestream-philosophy,Sidestream Philosophy,Sidestream Philosophy,1Ttd2W5fjIBqWkycNCahGw,0.0,24.0,5.0
/artists/1102514-sidetrack,Sidetrack,Sidetrack,0il7jGQMTcM7HIcLJAqxLh,0.0,7.0,2.0
/artists/4701418-sidewalkpoets,Sidewalkpoets,,,,,
/artists/7743199-sidi-larbi-cherkaoui-mlonga,Sidi Larbi Cherkaoui Mlonga,,,,,
/artists/745686-sidi-toure,Sidi Toure,Sidi Touré,4GZL0mdaChYedPq4Xr67Nb,11.0,1800.0,3200.0
/artists/8818119-sidi-wacho,Sidi Wacho,Sidi Wacho,2gowmdqgysWfADh2V9XSPf,24.0,3965.0,6100.0
/artists/7844519-sidiki-diabate,Sidiki Diabate,Sidiki Diabate,191PMh7wuK5iTSTA0nJAmf,5.0,238.0,719.0
/artists/476008-sidilarsen,Sidilarsen,Sidilarsen,0pWJ2WUFCQCikB9LBGRe2U,29.0,10439.0,14200.0
/artists/5432578-sidney-charles,Sidney Charles,Sidney Charles,0J6ZEXmLQfZMeHBoa4JZTH,41.0,46053.0,161800.0
/artists/164272-sido,Sido,Sido,4Yttlv9ndGjCDCVLqM7ACq,73.0,1562216.0,4400000.0
/artists/2880656-sidony-box,Sidony Box,Sidony Box,4zfEUIOuvdspOMFWJ1Sc7c,0.0,126.0,22.0
/artists/472856-sidsel-endresen,Sidsel Endresen,Sidsel Endresen,3nXJ669yt47ssgwwGeFat3,30.0,8234.0,32299.0
/artists/8956604-siegfried-and-joy,Siegfried & Joy,,,,,
/artists/186933-siena-root,Siena Root,Siena Root,119lba2E5Wz6tQUlSu3Q1l,31.0,26562.0,39800.0
/artists/2355844-sienna-dahlen,Sienna Dahlen,Sienna Dahlen,2v0rpluPPsfHeCxbnBLX9S,2.0,170.0,54.0
/artists/16821-sierra,Sierra,Sierra,5LxvWvFRXBDQBVI9LwwmVp,46.0,29042.0,251800.0
/artists/7733044-sierra-kidd,Sierra Kidd,Sierra Kidd,0U7ti3mwGrBNlKNE4YlbfT,60.0,132312.0,1200000.0
/artists/8350238-sierra-manhattan,Sierra Manhattan,,,,,
/artists/145856-sierra-sam,Sierra Sam,Sierra Sam,72b38GYdACZTIZ18uv969E,6.0,263.0,1200.0
/artists/8635734-sigala,Sigala,Sigala,1IueXOQyABrMOprrzwQJWN,76.0,1329356.0,13500000.0
/artists/8605624-siggbert,Siggbert,Siegbert Rampe,6Zdwsyf0I6iJUQx9civiz6,9.0,115.0,898.0
/artists/856165-sigha,Sigha,Sigha,3IpcmkTQ2s6rMaKtbwBbVe,11.0,5166.0,2900.0
/artists/16189-sightings,Sightings,Sightings,3Eib7odcDBiGPoW6nms2Go,13.0,1365.0,3200.0
/artists/546542-sights-and-sounds,Sights & Sounds,Sights & Sounds,0XWX7Mq0OUjQZtPxREERBJ,27.0,5114.0,20600.0
/artists/10089325-sigi-mc,Sigi MC,Sigi Mc,6PXipxyKmIHbkmwdkqm4wk,0.0,0.0,20600.0
/artists/559425-sigi-schwab,Sigi Schwab,Sigi Schwab,76t372Lv5f0NBtyWrIw52n,28.0,450.0,30500.0
