spotify_genre,occurrences
grimewave,6
grindcore,41
griot,9
grisly death metal,6
groove gospel,1
groove metal,42
groove room,2
grunge,25
grunge pop,1
grunge revival,1
grungegaze,8
grupera,1
gruperas inmortales,1
guadalajara indie,2
guatemalan pop,2
guinean pop,4
guitarra argentina,1
guitarra clasica,1
gulf hip hop,1
guqin,1
guyanese pop,1
gymcore,12
gypsy,1
gypsy fusion,12
gypsy jazz,12
gypsy punk,20
h8000,3
halftime dnb,9
halifax indie,7
hamburg electronic,34
hamburg hip hop,26
hamburg indie,21
hamburger schule,18
hamilton on indie,8
hammond organ,8
hands up,10
hangpan,3
happy hardcore,22
hard alternative,2
hard bass,1
hard bop,25
hard glam,11
hard house,2
hard minimal techno,2
hard rock,195
hard rock brasileiro,1
hard stoner rock,9
hard techno,3
hard trance,10
hardcore,41
hardcore hip hop,99
hardcore punk,42
hardcore techno,40
hardingfele,1
hardstyle,26
hardvapour,1
harlem hip hop,3
harmonica blues,16
harmonica jazz,1
harp,2
harpsichord,3
hauntology,13
hawaiian hip hop,2
hawaiian indie,1
healing,3
heartland rock,31
heavy gothic rock,2
heavy psych,10
hi-nrg,3
hi-tech,1
high-tech minimal,8
highlife,5
hindi hip hop,1
hindustani classical,3
hindustani instrumental,1
hinos ccb,1
hip hop,168
hip hop cubano,1
hip hop galsen,1
hip hop quebecois,7
hip hop tuga,2
hip house,29
hip pop,33
hip-hop experimental,17
hiplife,4
histoire pour enfants,2
historical keyboard,3
historically informed performance,13
hoerspiel,7
hollywood,5
hong kong hip hop,1
hong kong indie,1
hopebeat,2
horror punk,18
horrorcore,2
house,96
house argentino,5
houston indie,1
houston rap,5
humppa,1
hungarian classical performance,3
hungarian classical piano,1
hungarian edm,3
hungarian folk,1
hungarian indie,1
hungarian metal,6
hungarian punk,4
hungarian rock,5
hungarian techno,4
hurdy-gurdy,10
huzunlu sarkilar,3
hyperpop,10
hyphy,2
icelandic black metal,5
icelandic classical,4
icelandic electronic,15
icelandic experimental,4
icelandic folk,15
icelandic hip hop,1
icelandic indie,27
icelandic jazz,2
icelandic metal,6
icelandic pop,29
icelandic post-punk,5
icelandic punk,5
icelandic rock,16
icelandic singer-songwriter,11
idaho indie,3
idol,2
idol kayo,1
idol rock,6
illbient,4
impressionism,1
indian ambient,1
indian classical,4
indian edm,1
indian folk,1
indian fusion,4
indian instrumental rock,1
indian jazz,5
indian lo-fi,1
